ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd_pledged
1546177532,Retrofit Blinds - Colorful Vertical Blind Slip-On Covers,Product Design,Design,USD,2014-12-17 23:42:36,15000,2014-11-17 23:42:36,46,canceled,3,US,46
2143377578,Sheelah Do-it-yourself Vinyl Toy,Sculpture,Art,USD,2012-04-18 00:24:57,7000,2012-03-09 00:24:57,898,failed,14,US,898
1633922171,Hand Drawn Black & White Illustrations,Illustration,Art,USD,2013-09-24 00:26:04,100,2013-09-04 00:26:04,1439,successful,42,US,1439
494844877,Made in Jerusalem,Documentary,Film & Video,USD,2012-05-16 07:12:51,12000,2012-04-06 07:12:51,620,failed,14,US,620
258208221,Glass Screen Protector For Pebble Time and Pebble Time Steel,Wearables,Technology,USD,2015-05-17 23:39:36,3000,2015-04-17 23:39:36,9316,successful,476,US,9316
1811070149,Samson Film Story Reel,Animation,Film & Video,USD,2012-11-19 08:02:43,5000,2012-10-20 08:02:43,1630,failed,20,US,1630
1192002509,Rollin' Green Project,Documentary,Film & Video,USD,2013-01-31 22:11:48,5000,2013-01-11 22:11:48,0,failed,0,US,0
1346224271,emberlight: turn any light into a smart light.,Hardware,Technology,USD,2014-09-05 07:45:55,50000,2014-07-22 07:45:55,301212.25,successful,2621,US,301212.25
639872911,Decentralized Dance Party- RICHMOND EDITION!,Public Art,Art,USD,2012-02-10 16:00:35,1000,2011-12-12 16:00:35,76.82,failed,6,US,76.82
1117745517,Grey Flowers,Games,Games,USD,2015-09-29 16:06:19,3000,2015-08-30 16:06:19,116,failed,3,US,116
694124236,Jah'Kev Productions: Adult-Essence Struggles 2011,Dance,Dance,USD,2011-07-23 01:25:00,2000,2011-06-24 05:31:01,50,failed,1,US,50
1617082099,Bring Returnable Glass Bottle Soda Back to Minnesota!,Food,Food,USD,2013-10-24 00:14:13,30000,2013-09-24 00:14:13,1550,failed,30,US,1550
1287814340,Frantic - The Mischievous Card Game,Playing Cards,Games,CHF,2015-09-23 22:26:14,6593,2015-08-24 22:26:14,14866.19,successful,398,CH,15707.665412427
1841073776,"Whose Vagina Is It , Really?",Film & Video,Film & Video,CAD,2016-02-16 05:37:44,50000,2016-01-17 05:37:44,0,failed,0,CA,0
700087815,"""Get Leo An Oscar!"" - A Documentary",Documentary,Film & Video,USD,2011-03-29 01:21:56,100000,2011-01-28 01:21:56,0,failed,0,US,0
595385287,Dime Novel,Webcomics,Comics,USD,2014-07-08 01:59:58,160000,2014-05-24 01:59:58,139,failed,4,US,139
905317655,Bruce Cox MD - A Retrospective Brucified Coxumentary,Documentary,Film & Video,USD,2015-08-25 23:15:12,2000,2015-07-26 23:15:12,2040,successful,22,US,2040
1710361591,My second CD is ready to be recorded.  The songs written for this one are moving.,Indie Rock,Music,USD,2010-10-30 17:59:00,4000,2010-09-16 03:41:56,0,failed,0,US,0
875669350,SmartFan: a fan for your phone - the coolest gadget of 2016,Gadgets,Technology,GBP,2016-05-18 17:08:28,10000,2016-04-18 17:08:28,1693,failed,58,GB,2404.4060492
1685828722,Pompeii Touch app,Apps,Technology,EUR,2015-08-11 16:47:05,10000,2015-07-02 16:47:05,30,failed,3,IT,33.4039641
1148621654,Noble Rot Magazine,Periodicals,Publishing,GBP,2013-10-21 09:19:45,8000,2013-09-16 09:19:45,11607.66,successful,276,GB,18428.7477135816
1034886526,Maine Takes New York - Send Our Musicians to CMJ,World Music,Music,USD,2010-10-20 16:00:00,1500,2010-09-24 15:18:12,1541,successful,47,US,1541
1753016120,Get My Book Cooking,Nonfiction,Publishing,USD,2014-10-25 20:26:00,1000,2014-09-15 17:46:08,25,failed,1,US,25
1710203199,The Space Book Project,Publishing,Publishing,USD,2012-03-08 07:28:33,22500,2012-01-23 07:28:33,685,failed,9,US,685
1627492498,BABIESWAYS,Childrenswear,Fashion,GBP,2016-06-08 11:00:16,55000,2016-04-19 11:00:16,241,failed,4,GB,341.40813125
1915817844,The Art of India,Photography,Photography,USD,2014-08-24 16:19:20,2000,2014-07-25 16:21:51,0,failed,0,US,0
613299379,bubbleGuN,Rock,Music,USD,2011-11-29 21:03:26,2000,2011-11-15 21:03:26,2000.33,successful,15,US,2000.33
1492988855,Mirror: Stories About Sex,Documentary,Film & Video,USD,2012-05-31 09:49:24,7500,2012-05-01 09:49:24,2935,failed,21,US,2935
1567534060,Offensive,Film & Video,Film & Video,USD,2012-05-27 21:41:18,15000,2012-04-27 21:41:18,305,failed,9,US,305
261344686,"Tarot Cards , Major Arcana :  ' The Star '",Illustration,Art,GBP,2016-01-07 00:35:05,20,2015-11-08 00:35:05,105,successful,3,GB,159.74076405
17815250,"Asolo Art Film Festival, 35 edizione: per Attilio Zamperoni",Festivals,Film & Video,EUR,2016-07-25 08:19:37,10000,2016-06-30 08:19:37,0,live,0,IT,0
1653864617,"Stripping Out Loud; Exotic Dancers of Portland, Oregon",People,Photography,USD,2016-05-25 21:03:31,21000,2016-04-20 21:03:31,139,failed,6,US,139
1735661368,DEBUT FULL-LENGTH PRODUCED BY JOSHUA JAMES!,Music,Music,USD,2013-05-27 07:34:00,12000,2013-04-26 19:02:08,13776,successful,160,US,13776
1950664098,Build my own home studio.,Rock,Music,GBP,2016-05-28 07:07:59,5000,2016-04-28 07:07:59,0,failed,0,GB,0
1112309069,Volstead Social Club,Drinks,Food,AUD,2016-05-19 06:25:34,100000,2016-04-19 06:25:34,1,failed,1,AU,0.76652317
380533825,Art is never finish only abandon (Canceled),Crafts,Crafts,GBP,2013-11-25 19:09:55,1500,2013-11-22 19:09:55,0,canceled,0,GB,0
1947514962,Rescue from Goblin Deep,Video Games,Games,GBP,2015-04-30 15:50:00,3000,2015-03-08 18:41:38,256,failed,15,GB,384.98093056
1891970847,"Stefanie Keys,  Recording Project ""Music From The Heart""",Music,Music,USD,2014-01-03 00:49:47,17500,2013-12-04 00:49:47,9585,failed,24,US,9585
1484452299,CSGO Matches  You Frag. We Cast.,Software,Technology,USD,2015-11-05 19:28:07,350,2015-10-06 19:28:07,390,successful,4,US,390
251500495,Travis Casey's First Album,Hip-Hop,Music,USD,2011-01-01 03:00:00,2500,2010-11-22 04:26:05,95,failed,4,US,95
1874240784,The Toughest Race on Earth - The Story,Photography,Photography,USD,2013-01-02 18:17:16,20000,2012-11-03 17:17:16,2469,failed,34,US,2469
1466321363,Faith Illustrated - An Inspirable Book on Faith,Nonfiction,Publishing,USD,2013-06-24 02:52:58,7000,2013-05-25 02:52:58,476.27,failed,3,US,476.27
1783804393,Benign Kingdom presents ------ the Midnite Monsters,Art Books,Publishing,USD,2013-06-06 21:29:00,30000,2013-05-15 21:48:23,36556.14,successful,633,US,36556.14
1931012456,TaLampa - CONCRETE LAMP - Led/Halogen bulb,Product Design,Design,EUR,2016-05-27 19:11:51,3800,2016-04-24 19:11:51,408,failed,6,IT,457.96385544
1584431724,Florida in the Shadows,Webseries,Film & Video,USD,2013-02-09 03:00:00,5000,2013-01-29 00:21:21,5420,successful,26,US,5420
1343727139,Restless Natives: dtX's 10 Year Anniversary Season and Tour,Dance,Dance,USD,2014-04-12 00:16:00,6000,2014-03-21 13:26:33,6625,successful,103,US,6625
1909815059,Spaceship Theory 101- book and short documentary,Technology,Technology,USD,2011-02-19 15:35:00,12000,2011-01-20 15:35:00,40,failed,2,US,40
1992739735,Elemental Wisdom Of the Faeries & Elves  - new movie project,Narrative Film,Film & Video,USD,2012-04-28 02:08:17,125000,2012-03-29 02:08:17,0,canceled,0,US,0
1641509899,Khok Kong School Operation Greenfield,Hardware,Technology,USD,2016-02-22 18:50:59,8000,2016-01-23 18:50:59,235,failed,5,US,235
882467020,Cafe on the Park,Food,Food,USD,2014-04-23 16:45:18,7000,2014-03-09 15:45:18,810,failed,17,US,810
251150585,DEVANEIO: A story of ADHD and mental illness through dance,Performances,Dance,USD,2016-06-24 17:21:26,6000,2016-05-19 17:21:26,7082.77,successful,97,US,7082.77
1163923179,Nine from Nine,Illustration,Art,GBP,2013-03-14 17:10:04,1000,2013-02-12 18:10:04,1440,successful,26,GB,2275.1906256
264063351,Feisty Acres Bobwhite Quail Release Program,Farms,Food,USD,2016-04-02 19:44:40,2500,2016-02-02 19:44:40,2778,successful,50,US,2778
366960509,Second Adam Clothing,Fashion,Fashion,USD,2016-01-01 00:54:56,30000,2015-12-02 00:54:56,0,failed,0,US,0
652259965,Whiskey Is My Warmup (April 2012) (Canceled),Rock,Music,USD,2012-02-16 22:00:37,4000,2012-01-12 22:00:37,1710.77,canceled,24,US,1710.77
1682061298,Steven McCoy : The Enter View,Documentary,Film & Video,USD,2015-05-14 19:56:06,15000,2015-03-15 18:56:06,0,failed,0,US,0
430800331,SWIFT -  Travel apparel for an unburdened voyage.,Fashion,Fashion,USD,2013-07-09 04:41:33,1000,2013-05-25 04:41:33,261,failed,7,US,261
767398708,SMTDesigns Active wear,Ready-to-wear,Fashion,USD,2014-11-27 09:49:03,15000,2014-10-28 08:49:03,0,failed,0,US,0
1943723913,"""Ghost Whackers""",Comedy,Film & Video,USD,2014-09-01 06:00:00,5000,2014-07-17 09:04:47,106,failed,2,US,106
1388161340,The Story of Jesus and Us,Fiction,Publishing,USD,2012-09-16 00:41:48,3200,2012-08-17 00:41:48,3200,successful,66,US,3200
1657578181,The Jugtown Pirates need funds for our CD Release!,Rock,Music,USD,2011-08-05 19:44:44,5000,2011-07-26 19:44:44,5050,successful,32,US,5050
1546158886,The Clothesline Oz,Apparel,Fashion,AUD,2015-03-15 11:18:58,5000,2015-02-13 12:18:58,1,failed,1,AU,0.76612267
1931206744,Help me get to Flint Art Fair + Chicago RAW: Artist,Painting,Art,USD,2012-06-01 22:55:14,200,2012-04-02 22:55:14,386,successful,14,US,386
569127005,umidi - The world's first custom DJ controller,Design,Design,AUD,2014-01-18 13:02:06,20000,2013-12-04 13:02:06,7572,failed,44,AU,6882.19110288
1956529185,The UpCycle Cage - Leather Bicycle Accessories,Product Design,Design,USD,2015-07-16 02:00:00,3500,2015-06-15 18:18:43,3630,successful,40,US,3630
710125868,Aryana - never underestimate the strength of a woman.,Fiction,Publishing,GBP,2015-06-16 03:19:51,500,2015-04-17 03:19:51,0,failed,0,GB,0
1422928403,Recording Split LP with Homicyde,Rock,Music,USD,2012-07-01 00:33:00,300,2012-05-23 22:56:31,110,failed,5,US,110
1967605655,Loney Leatherworks Start Up,Crafts,Crafts,USD,2014-11-14 18:09:48,45000,2014-09-15 18:09:48,82,failed,5,US,82
764911496,Dick Starr Prototype with Twitch.tv Integration,Video Games,Games,USD,2014-07-28 00:46:15,100,2014-06-28 00:46:15,174,successful,32,US,174
247893310,The Mr X Stitch 2016 Calendar,Embroidery,Crafts,GBP,2015-11-09 13:40:51,500,2015-10-30 12:40:51,659,successful,33,GB,1006.06693664
2044794351,Help Me Get To L.A! (Suspended),Indie Rock,Music,CAD,2015-05-03 05:07:15,2025,2015-04-03 05:07:15,0,suspended,0,CA,0
885673794,Welder for creative residential welding,Architecture,Design,USD,2014-08-14 14:42:53,5000,2014-07-15 14:42:53,0,failed,0,US,0
832092481,Taz and Cave Man - the movie,Film & Video,Film & Video,USD,2011-04-30 07:45:11,2000,2011-03-15 06:45:11,2585,successful,37,US,2585
1661201138,Jim Ferguson's 2012 Movie Scene Art Book,Illustration,Art,USD,2013-03-16 19:50:06,2000,2013-03-02 20:50:06,2800,successful,44,US,2800
